124.376,0.0217994,50.6117,76.3,47808
7.97243,0.00244337,23.4823,73.1,1451
9.26441,0.00270119,29.902,66.3,1290
4.78505,0.00154746,21.6117,72.9,1058
3.93021,0.00200229,36.304,74.1,768
9.64641,0.00209433,28.4866,67.1,1178
1.6752,0.00106685,14.3409,85.3,530
3.94081,0.00125411,27.7686,91.6,502
2.57755,0.00178544,43.5678,83.6,463
2.48613,0.00134759,33.521,79.4,476
2.67853,0.00134023,22.47,84.3,725
3.51257,0.00165055,33.9778,85.6,508
1.90278,0.00121688,28.0529,80.5,476
13.0292,0.00428627,69.5438,80.1,1187
2.28592,0.00182844,40.4623,88.7,551
4.20009,0.00200485,31.4717,75.2,779
2.19217,0.00179272,51.0926,85.1,468
1.68334,0.00130245,23.1778,84.7,622
46.8423,0.00894756,50.8261,67.4,7955
10.2914,0.00262262,42.4368,75.6,1166
127.663,0.0154369,22.6906,91.8,46044
0.529029,0.00153862,25.3478,81.5,531
7.90558,0.00330333,62.7392,75.1,1159
1.3434,0.000965904,21.9537,87.8,479
2.78231,0.00164724,29.2862,76,514
4.75536,0.00145964,33.7051,66.7,731
17.5589,0.00298116,38.8032,67.2,1988
6.29596,0.00191172,18.6135,66.8,1906
1.56577,0.00134014,20.7042,78.5,517
1.10985,0.00150888,31.7328,70.3,558
10.9534,0.00648833,110.213,72.8,1986
120.104,0.0212068,18.399,77.8,22920
